timestamp,sensor_id,temp_C,hum_%,TVOC_ppb,eCO2_ppm,PM1_0,PM2_5,PM10
2026-03-19 17:35:46,Sensor2,23.60,21.70,6,400,4,5,5
2026-03-19 17:35:47,Sensor2,23.60,21.70,0,400,4,5,5
2026-03-19 17:35:48,Sensor2,23.60,21.80,3,400,5,5,5
2026-03-19 17:35:49,Sensor2,23.60,21.80,5,400,5,5,5
2026-03-19 17:35:50,Sensor2,23.60,21.80,5,400,5,6,6
2026-03-19 17:35:51,Sensor2,23.60,21.80,0,400,6,6,9
2026-03-19 17:35:52,Sensor2,23.60,21.80,2,400,5,6,7
2026-03-19 17:35:53,Sensor2,23.60,21.80,0,400,5,6,7
2026-03-19 17:35:54,Sensor2,23.60,21.80,4,400,5,6,7
2026-03-19 17:35:55,Sensor2,23.60,21.80,5,400,5,6,9
2026-03-19 17:35:56,Sensor2,23.60,21.80,9,400,5,6,9
2026-03-19 17:35:57,Sensor2,23.60,21.80,5,400,5,5,11
2026-03-19 17:35:58,Sensor2,23.60,21.80,10,400,5,5,11
2026-03-19 17:35:59,Sensor2,23.60,21.80,10,400,3,4,10
2026-03-19 17:36:00,Sensor2,23.60,21.80,12,400,4,5,10
2026-03-19 17:36:01,Sensor2,23.60,21.80,7,400,4,4,10
2026-03-19 17:36:02,Sensor2,23.60,21.80,7,400,4,4,10
2026-03-19 17:36:03,Sensor2,23.60,21.80,8,400,4,4,10
2026-03-19 17:36:04,Sensor2,23.60,21.80,13,400,3,4,10
2026-03-19 17:36:05,Sensor2,23.60,21.80,8,400,3,4,10
2026-03-19 17:36:06,Sensor2,23.60,21.80,17,400,4,4,10
2026-03-19 17:36:07,Sensor2,23.60,21.80,17,400,4,4,10
2026-03-19 17:36:08,Sensor2,23.60,21.80,13,400,3,4,11
2026-03-19 17:36:09,Sensor2,23.60,21.80,14,400,3,4,11
2026-03-19 17:36:10,Sensor2,23.60,21.80,7,400,3,4,7
2026-03-19 17:36:11,Sensor2,23.60,21.80,13,400,3,4,7
2026-03-19 17:36:12,Sensor2,23.60,21.80,17,400,4,4,7
2026-03-19 17:36:13,Sensor2,23.60,21.80,7,400,4,4,7
2026-03-19 17:36:14,Sensor2,23.60,21.80,13,400,4,4,7
2026-03-19 17:36:15,Sensor2,23.60,21.80,9,400,4,4,7
2026-03-19 17:36:16,Sensor2,23.60,21.80,10,400,3,3,6
2026-03-19 17:36:17,Sensor2,23.60,21.80,4,400,3,3,6
2026-03-19 17:36:18,Sensor2,23.60,21.80,1,400,3,3,4
2026-03-19 17:36:19,Sensor2,23.60,21.80,10,400,3,3,4
2026-03-19 17:36:20,Sensor2,23.60,21.70,5,400,3,3,5
2026-03-19 17:36:21,Sensor2,23.60,21.70,15,400,3,3,5
2026-03-19 17:36:22,Sensor2,23.60,21.70,10,400,3,4,5
2026-03-19 17:36:23,Sensor2,23.60,21.70,5,400,3,4,5
2026-03-19 17:36:24,Sensor2,23.60,21.70,10,400,3,4,5
2026-03-19 17:36:25,Sensor2,23.60,21.70,7,400,3,4,5
2026-03-19 17:36:26,Sensor2,23.60,21.70,4,400,4,4,4
2026-03-19 17:36:27,Sensor2,23.60,21.70,11,400,4,4,4
2026-03-19 17:36:28,Sensor2,23.60,21.60,6,400,3,3,3
2026-03-19 17:36:29,Sensor2,23.60,21.60,0,400,3,3,3
2026-03-19 17:36:30,Sensor2,23.60,21.60,9,400,3,3,3
2026-03-19 17:36:31,Sensor2,23.60,21.60,0,400,3,3,3
2026-03-19 17:36:32,Sensor2,23.60,21.60,5,400,3,3,3
2026-03-19 17:36:33,Sensor2,23.60,21.60,0,400,3,3,3
2026-03-19 17:36:34,Sensor2,23.60,21.60,6,400,3,3,3
2026-03-19 17:36:35,Sensor2,23.60,21.60,5,400,3,3,3
2026-03-19 17:36:36,Sensor2,23.60,21.60,7,400,3,3,3
2026-03-19 17:36:37,Sensor2,23.60,21.60,1,400,3,3,3
2026-03-19 17:36:38,Sensor2,23.60,21.60,0,400,3,3,3
2026-03-19 17:36:39,Sensor2,23.60,21.60,1,400,3,3,3
2026-03-19 17:36:40,Sensor2,23.60,21.60,3,400,3,3,3
2026-03-19 17:36:41,Sensor2,23.60,21.60,11,400,3,3,3
2026-03-19 17:36:42,Sensor2,23.60,21.50,8,400,3,3,3
2026-03-19 17:36:43,Sensor2,23.60,21.50,10,400,3,3,3
2026-03-19 17:36:44,Sensor2,23.60,21.60,9,400,3,3,3
2026-03-19 17:36:45,Sensor2,23.60,21.60,6,400,3,3,3
2026-03-19 17:36:46,Sensor2,23.60,21.50,0,400,3,4,4
2026-03-19 17:36:47,Sensor2,23.60,21.50,0,400,3,4,4
2026-03-19 17:36:48,Sensor2,23.60,21.50,0,400,4,4,4
2026-03-19 17:36:49,Sensor2,23.60,21.50,4,400,4,4,4
2026-03-19 17:36:50,Sensor2,23.60,21.50,2,400,4,5,5
2026-03-19 17:36:51,Sensor2,23.60,21.50,0,400,4,5,5
2026-03-19 17:36:52,Sensor2,23.60,21.50,1,400,4,5,5
2026-03-19 17:36:53,Sensor2,23.60,21.50,1,400,5,5,5
2026-03-19 17:36:54,Sensor2,23.60,21.50,0,400,4,5,5
2026-03-19 17:36:55,Sensor2,23.60,21.50,0,400,4,5,5
2026-03-19 17:36:56,Sensor2,23.60,21.50,0,400,4,5,5
2026-03-19 17:36:57,Sensor2,23.60,21.50,0,400,4,5,5
2026-03-19 17:36:58,Sensor2,23.60,21.50,2,400,4,5,5
2026-03-19 17:36:59,Sensor2,23.60,21.50,0,400,4,5,5
2026-03-19 17:37:00,Sensor2,23.60,21.50,0,400,4,5,5
2026-03-19 17:37:01,Sensor2,23.60,21.50,3,400,4,5,5
2026-03-19 17:37:02,Sensor2,23.60,21.50,0,400,4,5,5
2026-03-19 17:37:03,Sensor2,23.60,21.50,3,400,4,5,5
2026-03-19 17:37:04,Sensor2,23.60,21.60,0,400,4,5,5
2026-03-19 17:37:05,Sensor2,23.60,21.60,0,400,4,5,5
2026-03-19 17:37:06,Sensor2,23.60,21.50,3,400,3,4,4
2026-03-19 17:37:07,Sensor2,23.60,21.50,0,400,3,4,4
2026-03-19 17:37:08,Sensor2,23.60,21.50,5,400,3,3,3
2026-03-19 17:37:09,Sensor2,23.60,21.50,2,400,3,3,3
2026-03-19 17:37:10,Sensor2,23.60,21.60,0,400,3,3,3
2026-03-19 17:37:11,Sensor2,23.60,21.60,6,400,3,3,3
2026-03-19 17:37:12,Sensor2,23.60,21.60,4,400,3,3,3
2026-03-19 17:37:13,Sensor2,23.60,21.60,1,400,3,3,3
2026-03-19 17:37:14,Sensor2,23.60,21.60,1,400,3,3,3
2026-03-19 17:37:15,Sensor2,23.60,21.60,6,400,3,3,3
2026-03-19 17:37:16,Sensor2,23.60,21.60,4,400,3,3,4
2026-03-19 17:37:17,Sensor2,23.60,21.60,3,400,3,3,4
2026-03-19 17:37:18,Sensor2,23.60,21.60,2,400,2,3,4
2026-03-19 17:37:19,Sensor2,23.60,21.60,4,400,2,3,4
2026-03-19 17:37:20,Sensor2,23.60,21.60,2,400,2,3,4
2026-03-19 17:37:21,Sensor2,23.60,21.60,2,400,2,3,4
2026-03-19 17:37:22,Sensor2,23.60,21.60,0,400,2,3,4
2026-03-19 17:37:23,Sensor2,23.60,21.60,10,400,2,3,4
2026-03-19 17:37:24,Sensor2,23.60,21.60,4,400,3,3,6
2026-03-19 17:37:25,Sensor2,23.60,21.60,1,400,3,3,6
2026-03-19 17:37:26,Sensor2,23.60,21.60,8,400,3,4,6
2026-03-19 17:37:27,Sensor2,23.60,21.60,0,400,3,4,6
2026-03-19 17:37:28,Sensor2,23.60,21.70,3,400,3,3,6
2026-03-19 17:37:29,Sensor2,23.60,21.70,5,400,3,3,6
2026-03-19 17:37:30,Sensor2,23.60,21.60,0,400,3,3,6
2026-03-19 17:37:31,Sensor2,23.60,21.60,0,400,3,3,6
2026-03-19 17:37:32,Sensor2,23.60,21.70,0,400,3,4,6
2026-03-19 17:37:33,Sensor2,23.60,21.70,10,400,3,4,6
2026-03-19 17:37:34,Sensor2,23.60,21.60,5,400,3,3,5
2026-03-19 17:37:35,Sensor2,23.60,21.60,9,400,3,3,5
2026-03-19 17:37:36,Sensor2,23.60,21.60,8,400,3,4,6
2026-03-19 17:37:37,Sensor2,23.60,21.60,9,400,4,4,6
2026-03-19 17:37:38,Sensor2,23.60,21.60,7,400,4,4,7
2026-03-19 17:37:39,Sensor2,23.60,21.60,7,400,4,4,7
2026-03-19 17:37:40,Sensor2,23.60,21.60,10,400,4,4,6
2026-03-19 17:37:41,Sensor2,23.60,21.60,8,400,4,4,6
2026-03-19 17:37:42,Sensor2,23.60,21.60,10,400,4,4,5
2026-03-19 17:37:43,Sensor2,23.60,21.60,11,400,4,4,5
